link,pumps,pumps,pumps,pumps,pumps,pumps
id,P78,P78,P78,P79,P79,P79
properties,flow,energy,status,flow,energy,status
0 days 18:05:00,737.1960073686695,227.02520131828337,1.0,737.1960073686695,227.02520131828337,1.0
0 days 18:10:00,737.1960080372486,227.02520149776947,1.0,737.1960080372486,227.02520149776947,1.0
0 days 18:15:00,737.1960080746506,227.02520150781038,1.0,737.1960080746506,227.02520150781038,1.0
0 days 18:20:00,737.1960069710251,227.0252012115322,1.0,737.1960069710251,227.0252012115322,1.0
0 days 18:25:00,737.1960076813152,227.02520140221597,1.0,737.1960076813152,227.02520140221597,1.0
0 days 18:30:00,737.1960077518911,227.0252014211627,1.0,737.1960077518911,227.0252014211627,1.0
0 days 18:35:00,737.1960072521484,227.02520128700223,1.0,737.1960072521484,227.02520128700223,1.0
0 days 18:40:00,737.1960082265421,227.02520154858698,1.0,737.1960082265421,227.02520154858698,1.0
0 days 18:45:00,737.1960080758817,227.02520150814092,1.0,737.1960080758817,227.02520150814092,1.0
0 days 18:50:00,737.1960078694792,227.02520145273027,1.0,737.1960078694792,227.02520145273027,1.0
0 days 18:55:00,737.1960069180072,227.025201197299,1.0,737.1960069180072,227.025201197299,1.0
0 days 19:00:00,737.1960074070657,227.02520132859118,1.0,737.1960074070657,227.02520132859118,1.0
0 days 19:05:00,737.1960073330898,227.0252013087317,1.0,737.1960073330898,227.0252013087317,1.0
0 days 19:10:00,737.1960072014546,227.025201273393,1.0,737.1960072014546,227.025201273393,1.0
0 days 19:15:00,737.1960075866098,227.02520137679144,1.0,737.1960075866098,227.02520137679144,1.0
0 days 19:20:00,737.1960078055287,227.02520143556217,1.0,737.1960078055287,227.02520143556217,1.0
0 days 19:25:00,737.1960070889767,227.02520124319736,1.0,737.1960070889767,227.02520124319736,1.0
0 days 19:30:00,737.1960069949366,227.0252012179514,1.0,737.1960069949366,227.0252012179514,1.0
0 days 19:35:00,737.1960082831218,227.02520156377636,1.0,737.1960082831218,227.02520156377636,1.0
0 days 19:40:00,737.1960080297935,227.02520149576807,1.0,737.1960080297935,227.02520149576807,1.0
0 days 19:45:00,737.1960082086889,227.0252015437942,1.0,737.1960082086889,227.0252015437942,1.0
0 days 19:50:00,737.1960076289141,227.02520138814842,1.0,737.1960076289141,227.02520138814842,1.0
0 days 19:55:00,737.1960071710672,227.0252012652353,1.0,737.1960071710672,227.0252012652353,1.0
0 days 20:00:00,737.1960076164564,227.02520138480403,1.0,737.1960076164564,227.02520138480403,1.0
0 days 20:05:00,737.1960071822813,227.02520126824578,1.0,737.1960071822813,227.02520126824578,1.0
0 days 20:10:00,737.1960077384675,227.025201417559,1.0,737.1960077384675,227.025201417559,1.0
0 days 20:15:00,737.1960072067103,227.02520127480398,1.0,737.1960072067103,227.02520127480398,1.0
0 days 20:20:00,737.1960081382753,227.02520152489097,1.0,737.1960081382753,227.02520152489097,1.0
